GeneID	Name	Start	End	P_1_trim	P_2_trim	P_3_trim	P_7_trim	P_8_trim	P_9_trim	E_1_trim	E_2_trim	E_3_trim	E_7_trim	E_8_trim	E_9_trim
rno-miR-150-5p	NC_005100.4	101115989	101116010	37350	99630	49713	40074	30828	56106	35763	26589	47328	83385	93648	64716
rno-miR-150-3p	NC_005100.4	101116025	101116043	42	102	96	66	36	105	42	21	42	63	36	63
rno-miR-344b-1-3p	NC_005100.4	121193161	121193182	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-344b-5p	NC_005100.4	121193202	121193223	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-344a	NC_005100.4	122309617	122309635	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-344g	NC_005100.4	122409964	122409985	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-344i	NC_005100.4	122506579	122506600	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-211-5p	NC_005100.4	125042144	125042165	6	39	15	3	18	27	6	6	6	42	0	9
rno-miR-211-3p	NC_005100.4	125042180	125042199	6	0	0	0	0	0	3	0	0	0	0	0
rno-miR-7a-5p	NC_005100.4	140576414	140576436	3	33	12	0	33	18	42	6	6	39	9	9
rno-miR-7a-2-3p	NC_005100.4	140576452	140576473	0	0	0	0	0	3	0	0	0	0	0	0
rno-miR-9b-3p	NC_005100.4	141229371	141229388	3	0	0	0	0	0	0	0	0	0	0	0
rno-miR-9b-5p	NC_005100.4	141229407	141229425	0	3	0	0	3	0	3	0	0	3	3	0
rno-miR-9a-5p	NC_005100.4	141229368	141229390	84	246	102	195	72	210	237	216	81	417	87	96
rno-miR-9a-3p	NC_005100.4	141229407	141229428	0	3	0	0	3	0	3	0	0	3	3	0
rno-miR-1839-5p	NC_005100.4	143360227	143360248	1938	8703	3426	2010	3537	5277	6405	2682	3591	12066	3003	3891
rno-miR-1839-3p	NC_005100.4	143360266	143360287	27	87	30	24	54	66	81	15	30	114	21	30
rno-miR-708-5p	NC_005100.4	161221256	161221278	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-708-3p	NC_005100.4	161221302	161221323	0	3	0	0	0	0	0	0	0	9	0	3
rno-miR-326-5p	NC_005100.4	164518420	164518439	75	177	93	54	75	138	150	48	66	201	24	114
rno-miR-326-3p	NC_005100.4	164518460	164518480	303	657	207	279	507	300	525	201	213	840	177	213
rno-miR-3102	NC_005100.4	165921224	165921244	21	9	0	12	0	3	3	0	6	9	0	3
rno-miR-139-5p	NC_005100.4	166589551	166589572	3054	2988	1131	2271	1050	1515	1464	483	963	2409	675	969
rno-miR-139-3p	NC_005100.4	166589587	166589608	117	120	81	99	78	87	72	12	69	120	33	87
rno-miR-762	NC_005100.4	199158870	199158887	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-202-3p	NC_005100.4	212295637	212295657	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-202-5p	NC_005100.4	212295675	212295693	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-3574	NC_005100.4	214208378	214208399	1077	6087	2130	1242	2799	3456	3621	2112	1875	6711	1368	1734
rno-miR-210-3p	NC_005100.4	214208378	214208399	1077	6087	2130	1242	2799	3456	3621	2112	1875	6711	1368	1734
rno-miR-210-5p	NC_005100.4	214208416	214208437	294	870	234	225	804	306	672	399	183	1386	426	216
rno-miR-675-3p	NC_005100.4	215745995	215746015	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-675-5p	NC_005100.4	215746029	215746050	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-483-3p	NC_005100.4	215832094	215832115	3	3	0	0	3	0	9	0	9	3	0	0
rno-miR-483-5p	NC_005100.4	215832132	215832153	0	0	0	0	0	3	0	0	0	0	0	0
rno-miR-6315	NC_005100.4	221434051	221434073	27	51	51	24	27	60	48	18	39	96	12	21
rno-miR-194-5p	NC_005100.4	221634800	221634821	99	210	102	120	126	195	162	123	81	255	57	84
rno-miR-194-3p	NC_005100.4	221634836	221634856	0	9	0	12	3	9	3	0	15	18	0	3
rno-miR-192-5p	NC_005100.4	221634994	221635014	4497	6384	3201	3873	3315	5196	4695	2400	2301	8052	2181	2646
rno-miR-192-3p	NC_005100.4	221635037	221635058	21	18	24	21	39	24	24	15	12	51	24	39
rno-miR-204-5p	NC_005100.4	240403032	240403053	300	90	75	249	72	129	78	123	108	132	69	96
rno-miR-204-3p	NC_005100.4	240403071	240403092	0	0	0	0	0	0	0	6	0	0	0	0
rno-miR-101b-5p	NC_005100.4	247263746	247263767	0	0	0	0	0	0	3	0	0	0	0	0
rno-miR-101b-3p	NC_005100.4	247263783	247263803	840	3288	1227	771	957	1746	1686	894	996	3585	768	933
rno-miR-107-3p	NC_005100.4	253128263	253128285	1356	4533	2292	1407	2337	3744	2961	1632	1950	5850	1197	2163
rno-miR-107-5p	NC_005100.4	253128299	253128322	0	0	0	3	6	3	3	3	3	3	3	0
rno-miR-3085	NC_005100.4	261524248	261524268	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-146b-5p	NC_005100.4	266089502	266089525	7245	10845	10593	8073	12117	10590	10365	3480	5361	12216	3312	9234
rno-miR-146b-3p	NC_005100.4	266089542	266089562	3	0	9	0	0	3	0	0	3	0	0	0
rno-miR-3584-3p	NC_005100.4	271275906	271275924	0	0	0	0	3	0	3	0	0	0	0	0
rno-miR-3584-5p	NC_005100.4	271275946	271275963	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-6316	NC_005100.4	278298733	278298755	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-99b-5p	NC_005100.4	59704222	59704243	27213	61221	17547	22767	28542	22284	36597	10530	13986	54453	6894	12312
rno-miR-99b-3p	NC_005100.4	59704260	59704281	192	372	228	114	141	285	228	135	93	375	141	129
rno-miR-3596c	NC_005100.4	59704395	59704415	41562	28116	22929	37224	20337	37668	13041	23337	16173	23949	14904	15318
rno-let-7e-5p	NC_005100.4	59704395	59704416	41562	28116	22929	37224	20337	37668	13041	23337	16173	23949	14904	15318
rno-let-7e-3p	NC_005100.4	59704440	59704461	138	153	117	138	81	204	60	66	78	144	75	75
rno-miR-125a-5p	NC_005100.4	59704841	59704864	57447	78615	29130	44010	57312	34098	56856	16113	22098	70557	23574	22644
rno-miR-125a-3p	NC_005100.4	59704879	59704900	228	312	171	168	225	252	174	69	126	312	72	141
rno-miR-3572	NC_005100.4	64135984	64136007	12	6	3	0	12	3	6	0	3	12	0	0
rno-miR-935	NC_005100.4	64330562	64330584	0	3	0	0	9	0	3	0	0	0	0	0
rno-miR-295*	NC_005100.4	66133322	66133343	303	231	1356	381	402	90	231	174	795	342	348	687
rno-miR-295	NC_005100.4	66133358	66133380	0	0	3	0	0	0	0	0	0	0	0	0
rno-miR-294	NC_005100.4	64536787	64536807	0	24	6	6	6	6	30	3	6	33	3	6
rno-miR-293-3p	NC_005100.4	64537114	64537135	0	9	3	0	9	15	6	3	3	15	6	3
rno-miR-293-5p	NC_005100.4	64537151	64537171	303	1425	468	249	633	738	1239	393	402	2070	351	471
rno-miR-291b	NC_005100.4	64537854	64537875	27	186	69	18	72	108	102	48	48	291	120	99
rno-miR-292-3p	NC_005100.4	64538128	64538150	48	273	102	36	111	120	204	84	75	330	99	108
rno-miR-292-5p	NC_005100.4	64538168	64538189	108	681	273	150	327	375	582	258	207	1359	162	285
rno-miR-291a-3p	NC_005100.4	64538417	64538439	6	15	18	6	6	15	24	9	6	27	6	9
rno-miR-291a-5p	NC_005100.4	64538454	64538475	15	54	39	21	24	33	87	36	36	177	39	21
rno-miR-290	NC_005100.4	64538756	64538773	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-295*	NC_005100.4	66133322	66133343	303	231	1356	381	402	90	231	174	795	342	348	687
rno-miR-295	NC_005100.4	66133358	66133380	0	0	3	0	0	0	0	0	0	0	0	0
rno-miR-3099	NC_005100.4	70136980	70137001	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-330-5p	NC_005100.4	80092701	80092722	84	375	198	96	117	294	291	111	165	627	90	147
rno-miR-330-3p	NC_005100.4	80092740	80092762	30	93	21	42	39	78	75	21	69	210	27	18
rno-miR-343	NC_005100.4	80298746	80298765	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-3569	NC_005100.4	89042819	89042839	9	9	3	3	6	3	9	6	3	12	3	18
rno-miR-124-5p	NC_005101.4	102311627	102311648	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-124-3p	NC_005101.4	102311664	102311683	9	12	3	51	0	9	0	18	0	12	18	15
rno-miR-9b-3p	NC_005101.4	187582817	187582834	3	0	0	0	0	0	0	0	0	0	0	0
rno-miR-9b-5p	NC_005101.4	187582853	187582871	3	0	6	0	0	0	0	0	3	6	0	3
rno-miR-9a-5p	NC_005101.4	187582814	187582836	60	93	399	72	99	57	69	87	159	69	93	231
rno-miR-9a-3p	NC_005101.4	187582853	187582874	3	0	6	0	0	0	0	0	3	6	0	3
rno-miR-551b-5p	NC_005101.4	116867664	116867686	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-551b-3p	NC_005101.4	116867702	116867724	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-15b-5p	NC_005101.4	165605942	165605963	1473	3219	1320	1215	2505	1716	2667	912	1539	4185	1548	1683
rno-miR-15b-3p	NC_005101.4	165605980	165606001	54	123	60	33	69	72	99	18	48	111	39	48
rno-miR-16-5p	NC_005101.4	165606088	165606109	111099	332715	144531	120144	156105	181884	199617	102318	155514	341184	92643	170448
rno-miR-16-3p	NC_005101.4	165606130	165606150	54	60	24	24	111	39	51	9	18	126	6	54
rno-miR-2985	NC_005101.4	179591338	179591359	0	0	0	0	0	0	3	0	0	6	3	6
rno-miR-9b-3p	NC_005101.4	187582817	187582834	3	0	0	0	0	0	0	0	0	0	0	0
rno-miR-9b-5p	NC_005101.4	187582853	187582871	3	0	6	0	0	0	0	0	3	6	0	3
rno-miR-9a-5p	NC_005101.4	187582814	187582836	60	93	399	72	99	57	69	87	159	69	93	231
rno-miR-9a-3p	NC_005101.4	187582853	187582874	3	0	6	0	0	0	0	0	3	6	0	3
rno-miR-3541	NC_005101.4	188487068	188487085	15	27	6	3	15	12	18	3	6	15	3	9
rno-miR-92b-3p	NC_005101.4	188541044	188541065	198	306	159	153	150	177	150	132	255	294	108	312
rno-miR-92b-5p	NC_005101.4	188541083	188541106	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-190b-5p	NC_005101.4	189421147	189421167	3	30	12	18	15	18	9	12	6	33	6	18
rno-miR-190b-3p	NC_005101.4	189421183	189421202	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-6314	NC_005101.4	211682715	211682736	0	0	3	0	0	0	0	0	6	0	0	3
rno-miR-137-5p	NC_005101.4	221658128	221658149	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-137-3p	NC_005101.4	221658164	221658186	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-760-3p	NC_005101.4	225873366	225873385	0	6	3	3	3	3	12	3	9	12	3	0
rno-miR-760-5p	NC_005101.4	225873401	225873422	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-1956-5p	NC_005101.4	243819840	243819861	24	102	66	54	18	108	48	63	30	117	21	30
rno-miR-1956-3p	NC_005101.4	243819879	243819896	0	0	0	0	0	0	0	0	3	0	0	0
rno-miR-186-5p	NC_005101.4	263873773	263873794	9000	28776	12276	9834	13500	16131	17289	8313	12351	30474	9216	12858
rno-miR-186-3p	NC_005101.4	263873812	263873832	0	6	0	0	9	0	0	6	0	6	0	3
rno-miR-582-5p	NC_005101.4	40863760	40863781	3	6	0	3	0	0	9	0	0	3	0	0
rno-miR-582-3p	NC_005101.4	40863797	40863818	90	66	45	60	24	120	21	36	48	21	6	60
rno-miR-449c-5p	NC_005101.4	44896085	44896105	3	9	0	0	0	6	0	3	3	0	3	0
rno-miR-449c-3p	NC_005101.4	44896110	44896126	3	9	0	0	0	6	0	3	3	0	3	0
rno-miR-449a-5p	NC_005101.4	44897616	44897637	12	66	27	30	48	45	21	6	42	15	3	63
rno-miR-449a-3p	NC_005101.4	44897656	44897677	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-674-5p	NC_005102.4	108864472	108864493	120	381	150	135	249	297	285	150	126	561	135	213
rno-miR-674-3p	NC_005102.4	108864507	108864528	2115	5706	2148	2061	3387	3006	3936	1488	2460	8844	1344	1935
rno-miR-147	NC_005102.4	114775390	114775411	336	978	276	324	477	411	297	315	627	435	276	723
rno-miR-103-2-5p	NC_005102.4	123833685	123833701	3	0	0	0	6	3	0	0	6	3	0	3
rno-miR-103-3p	NC_005102.4	123833722	123833744	8883	32433	15480	9201	13707	22974	18519	10890	12090	36720	8649	13542
rno-miR-6334	NC_005102.4	150911606	150911627	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-499-5p	NC_005102.4	151138866	151138886	3	15	3	3	9	3	9	0	0	18	0	6
rno-miR-499-3p	NC_005102.4	151138903	151138924	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-296-3p	NC_005102.4	172357500	172357521	0	0	0	6	3	0	0	0	0	0	3	0
rno-miR-296-5p	NC_005102.4	172357535	172357555	0	3	0	0	0	0	0	0	0	0	0	0
rno-miR-298-3p	NC_005102.4	172357952	172357973	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-298-5p	NC_005102.4	172357992	172358014	0	15	6	0	9	6	0	0	3	30	6	3
rno-miR-1b	NC_005102.4	175769767	175769788	0	0	0	0	0	3	0	0	0	0	0	0
rno-miR-124-5p	NC_005102.4	176406219	176406240	0	0	0	0	0	0	0	3	0	0	0	0
rno-miR-124-3p	NC_005102.4	176406257	176406276	9	9	9	48	3	6	12	6	6	9	3	6
rno-miR-181a-5p	NC_005102.4	23150390	23150412	76515	212313	117918	74661	95661	185139	116883	74316	86517	210324	66345	103077
rno-miR-181a-2-3p	NC_005102.4	23150435	23150453	174	114	63	138	84	90	30	66	30	63	36	60
rno-miR-181b-5p	NC_005102.4	23151469	23151491	4962	11157	8283	4647	4638	12144	5640	4092	5175	10707	4005	5946
rno-miR-181b-2-3p	NC_005102.4	23151507	23151528	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-126b	NC_005102.4	4042491	4042512	127122	37131	57636	122943	19692	66249	6558	16281	17910	13524	14526	17973
rno-miR-126a-5p	NC_005102.4	4042496	4042516	127044	37122	57606	122898	19677	66219	6552	16281	17901	13506	14517	17967
rno-miR-126a-3p	NC_005102.4	4042533	4042554	128439	36075	32655	93336	25272	40092	7659	10722	16689	14139	9549	14127
rno-miR-6216	NC_005102.4	46361950	46361972	312	1173	411	270	573	507	1050	291	459	1638	300	429
rno-miR-7578	NC_005102.4	6000133	6000155	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-10b-5p	NC_005102.4	61648005	61648026	0	0	3	3	0	3	0	0	0	0	0	0
rno-miR-10b-3p	NC_005102.4	61648042	61648062	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-130a-3p	NC_005102.4	72141049	72141070	3714	1626	1176	3123	963	1608	711	600	828	1104	621	792
rno-miR-130a-5p	NC_005102.4	72141089	72141110	3	0	0	0	0	0	0	0	0	0	0	0
rno-miR-3590-5p	NC_005102.4	72141050	72141070	2298	987	747	1854	564	1122	462	411	564	690	438	576
rno-miR-3590-3p	NC_005102.4	72141091	72141112	0	3	0	0	0	0	0	0	0	0	0	0
rno-miR-219b	NC_005102.4	8407445	8407466	3	3	3	6	18	9	9	0	0	9	0	0
rno-miR-219a-2-3p	NC_005102.4	8407443	8407464	3	3	9	9	18	9	15	3	0	9	0	0
rno-miR-219a-5p	NC_005102.4	8407487	8407507	0	3	0	0	0	0	0	0	0	3	0	0
rno-miR-129-2-3p	NC_005102.4	83137312	83137333	3	0	0	0	3	0	0	0	0	3	0	0
rno-miR-129-5p	NC_005102.4	83137355	83137375	12	0	0	3	0	0	6	12	0	0	6	6
rno-miR-141-3p	NC_005103.4	157236361	157236382	168	618	150	159	288	210	459	129	258	654	180	246
rno-miR-141-5p	NC_005103.4	157236405	157236426	0	6	0	3	3	6	6	0	9	12	6	0
rno-miR-3575	NC_005103.4	157236835	157236852	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-200c-3p	NC_005103.4	157236790	157236810	9	51	18	12	33	21	18	6	33	87	9	27
rno-miR-200c-5p	NC_005103.4	157236830	157236850	0	0	0	0	0	0	0	0	0	0	3	0
rno-miR-879-3p	NC_005103.4	21673645	21673665	3	0	0	0	3	3	0	0	0	0	0	3
rno-miR-879-5p	NC_005103.4	21673680	21673700	0	0	3	0	0	0	0	0	0	9	0	0
rno-miR-653-3p	NC_005103.4	28658901	28658922	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-653-5p	NC_005103.4	28658939	28658959	0	3	0	0	0	3	0	0	0	0	0	0
rno-miR-489-3p	NC_005103.4	28659547	28659568	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-489-5p	NC_005103.4	28659583	28659606	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-592	NC_005103.4	55182426	55182448	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-129-5p	NC_005103.4	56301731	56301751	3	0	0	0	3	0	3	3	6	6	3	0
rno-miR-129-1-3p	NC_005103.4	56301774	56301792	3	0	0	0	0	0	0	0	0	0	0	0
rno-miR-182	NC_005103.4	57459776	57459800	366	1650	381	369	453	477	783	294	408	1452	468	483
rno-miR-96-3p	NC_005103.4	57463385	57463406	3	0	0	0	0	0	0	0	0	3	0	0
rno-miR-96-5p	NC_005103.4	57463426	57463448	0	3	0	0	0	0	3	0	0	9	3	0
rno-miR-183-3p	NC_005103.4	57463592	57463612	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-183-5p	NC_005103.4	57463631	57463652	12	45	9	6	6	18	27	3	6	27	9	3
rno-miR-3553	NC_005103.4	57463630	57463652	18	135	42	39	24	42	39	21	51	114	51	39
rno-miR-3556a	NC_005103.4	58343948	58343965	39	99	18	27	27	12	108	18	27	138	12	27
rno-miR-29a-3p	NC_005103.4	58343944	58343965	26844	78015	18654	23055	38952	27945	56583	17925	32040	91896	22209	27846
rno-miR-29a-5p	NC_005103.4	58343982	58344003	18	87	39	39	36	33	27	15	30	102	48	27
rno-miR-3587	NC_005103.4	58344318	58344338	108	363	99	99	195	138	309	90	105	444	72	84
rno-miR-29b-3p	NC_005103.4	58344318	58344340	111	363	99	99	195	138	309	90	105	444	72	84
rno-miR-29b-1-5p	NC_005103.4	58344355	58344376	18	99	33	18	51	57	60	27	39	156	48	60
rno-miR-490-5p	NC_005103.4	63342964	63342983	0	3	0	0	0	0	0	0	3	6	0	0
rno-miR-490-3p	NC_005103.4	63343001	63343022	3	6	9	3	0	0	0	3	12	0	0	0
rno-miR-671	NC_005103.4	7108758	7108778	180	453	279	204	246	342	291	213	249	489	165	264
rno-miR-148a-3p	NC_005103.4	81013285	81013305	261	873	432	330	381	741	465	348	522	1020	231	570
rno-miR-148a-5p	NC_005103.4	81013321	81013343	171	474	282	207	222	369	288	168	267	387	48	186
rno-miR-196b*	NC_005103.4	82199068	82199090	3	0	0	0	0	0	0	0	0	0	0	0
rno-miR-196b	NC_005103.4	82199104	82199125	297	294	294	297	189	435	135	162	93	327	144	84
rno-miR-31b	NC_005104.4	107206542	107206560	990	411	597	846	222	942	213	183	297	330	93	225
rno-miR-31a-5p	NC_005104.4	107206542	107206563	990	411	597	846	222	942	213	183	297	330	93	225
rno-miR-31a-3p	NC_005104.4	107206578	107206600	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-872-5p	NC_005104.4	113657737	113657757	2025	4764	2115	1740	2133	3120	2964	1461	2079	5751	1482	2196
rno-miR-872-3p	NC_005104.4	113657776	113657797	588	2271	1092	873	936	1497	1104	804	903	2577	1248	1107
rno-miR-101a-3p	NC_005104.4	120168445	120168465	10971	41493	15258	9930	17166	26424	23253	12951	13179	43878	9633	13647
rno-miR-101a-5p	NC_005104.4	120168481	120168502	27	123	30	48	36	72	84	27	42	138	27	51
rno-miR-761	NC_005104.4	128651881	128651902	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-30c-1-3p	NC_005104.4	139699889	139699910	261	696	393	300	309	621	261	273	360	783	261	420
rno-miR-30c-5p	NC_005104.4	139699927	139699949	2631	4998	2127	2439	2319	3057	3099	1521	2019	5649	3471	2145
rno-miR-30e-3p	NC_005104.4	139702884	139702905	1644	3492	1950	1500	1440	3096	1986	1443	1563	3642	1095	1563
rno-miR-30e-5p	NC_005104.4	139702926	139702947	2382	6831	2250	2556	2814	3123	3558	1998	2391	6609	1926	2499
rno-miR-3583-5p	NC_005104.4	150732616	150732639	3	0	3	0	6	0	6	0	0	3	0	0
rno-miR-3583-3p	NC_005104.4	150732657	150732678	0	6	9	3	6	3	3	9	6	3	3	0
rno-miR-6333	NC_005104.4	153843964	153843986	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-6215	NC_005104.4	158061002	158061021	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-34a-5p	NC_005104.4	167092510	167092531	1446	3411	1896	1347	2271	2436	2925	720	1599	4455	564	1794
rno-miR-34a-3p	NC_005104.4	167092554	167092575	339	411	306	339	213	537	270	264	336	684	183	414
rno-miR-6332	NC_005104.4	167403036	167403058	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-429	NC_005104.4	173488342	173488363	312	804	75	195	315	147	441	156	210	669	165	240
rno-miR-3548	NC_005104.4	173489420	173489441	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-200a-3p	NC_005104.4	173489380	173489401	45	150	15	45	51	30	114	12	36	117	24	36
rno-miR-200a-5p	NC_005104.4	173489419	173489439	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-200b-3p	NC_005104.4	173490160	173490182	51	309	24	51	141	36	207	51	69	306	39	99
rno-miR-200b-5p	NC_005104.4	173490197	173490218	0	0	0	0	6	0	3	0	9	3	0	0
rno-miR-378b	NC_005104.4	5575671	5575691	15	54	21	27	27	30	51	9	15	51	6	12
rno-miR-876	NC_005104.4	52461695	52461716	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-873-3p	NC_005104.4	52481086	52481106	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-873-5p	NC_005104.4	52481122	52481142	0	0	0	3	0	0	0	0	0	0	0	0
rno-miR-207	NC_005104.4	57028910	57028932	0	0	0	3	0	0	0	0	0	0	0	0
rno-miR-32-3p	NC_005104.4	73934258	73934279	6	15	6	12	0	18	12	9	9	15	0	12
rno-miR-32-5p	NC_005104.4	73934298	73934319	111	438	147	159	162	162	261	141	183	411	171	225
rno-miR-455-5p	NC_005104.4	79097218	79097239	72	36	24	84	9	30	9	18	15	9	6	6
rno-miR-455-3p	NC_005104.4	79097255	79097276	57	21	6	33	9	18	0	3	0	12	9	9
rno-miR-3084c-5p	NC_005104.4	86767035	86767055	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-3084c-3p	NC_005104.4	86767074	86767094	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-3558-5p	NC_005105.4	10992716	10992739	24	36	18	24	33	30	42	39	48	57	33	9
rno-miR-3558-3p	NC_005105.4	10992758	10992777	12	30	9	6	27	6	42	18	42	42	3	27
rno-miR-1843a-3p	NC_005105.4	103567586	103567607	576	984	615	453	699	846	732	570	600	1653	387	576
rno-miR-1843a-5p	NC_005105.4	103567625	103567645	828	2325	999	654	918	1545	1587	756	849	2931	564	927
rno-miR-3068-3p	NC_005105.4	111468737	111468758	105	528	165	120	183	279	399	114	162	690	141	189
rno-miR-3068-5p	NC_005105.4	111468775	111468799	6	39	24	18	27	9	39	12	12	69	3	24
